delivery_id,order_id,delivery_time,delivery_status
1,1,3,Delivered
2,2,4,Delivered
3,3,6,Delivered
4,4,5,Delivered
5,5,4,Delivered
6,6,4,Delivered
7,7,4,Delivered
8,8,6,Delivered
9,9,4,Delivered
10,10,4,Delivered
11,11,2,Delivered
12,12,4,Delivered
13,13,4,Delivered
14,14,8,Delivered
15,15,3,Delivered
16,16,5,Delivered
17,17,4,Delivered
18,18,5,Delivered
19,19,2,Delivered
20,20,6,Delivered
21,21,4,Delivered
22,22,3,Delivered
23,23,2,Delivered
24,24,3,Delivered
25,25,2,Delivered
26,26,6,Delivered
27,27,4,Delivered
28,28,3,Delivered
29,29,4,Delivered
30,30,0,Cancelled
31,31,4,Delivered
32,32,4,Delivered
33,33,6,Delivered
34,34,4,Delivered
35,35,3,Delivered
36,36,5,Delivered
37,37,7,Delivered
38,38,3,Delivered
39,39,4,Delivered
40,40,4,Delivered
41,41,3,Delivered
42,42,3,Delivered
43,43,8,Delivered
44,44,5,Delivered
45,45,4,Delivered
46,46,4,Delivered
47,47,2,Delivered
48,48,3,Delivered
49,49,2,Delivered
50,50,4,Delivered
51,51,8,Delivered
52,52,3,Delivered
53,53,6,Delivered
54,54,3,Delivered
55,55,6,Delivered
56,56,5,Delivered
57,57,3,Delivered
58,58,4,Delivered
59,59,6,Delivered
60,60,3,Delivered
61,61,5,Delivered
62,62,8,Delivered
63,63,4,Delivered
64,64,4,Delivered
65,65,2,Delivered
66,66,3,Delivered
67,67,5,Delivered
68,68,4,Delivered
69,69,3,Delivered
70,70,7,Delivered
71,71,6,Delivered
72,72,4,Delivered
73,73,4,Delivered
74,74,4,Delivered
75,75,2,Delivered
76,76,5,Delivered
77,77,2,Delivered
78,78,2,Delivered
79,79,3,Delivered
80,80,4,Delivered
81,81,4,Delivered
82,82,4,Delivered
83,83,3,Delivered
84,84,5,Delivered
85,85,4,Delivered
86,86,5,Returned
87,87,4,Delivered
88,88,6,Delivered
89,89,3,Delivered
90,90,4,Delivered
91,91,3,Delivered
92,92,10,Returned
93,93,6,Returned
94,94,6,Returned
95,95,3,Delivered
96,96,7,Delivered
97,97,4,Delivered
98,98,4,Delivered
99,99,4,Delivered
100,100,2,Delivered
101,101,7,Delivered
102,102,4,Delivered
103,103,4,Delivered
104,104,5,Delivered
105,105,4,Delivered
106,106,5,Delivered
107,107,4,Delivered
108,108,6,Returned
109,109,4,Delivered
110,110,2,Delivered
111,111,4,Delivered
112,112,2,Delivered
113,113,5,Delivered
114,114,3,Delivered
115,115,3,Delivered
116,116,6,Delivered
117,117,4,Delivered
118,118,5,Delivered
119,119,4,Delivered
120,120,5,Delivered
121,121,6,Delivered
122,122,2,Delivered
123,123,2,Delivered
124,124,8,Delivered
125,125,3,Delivered
126,126,3,Delivered
127,127,5,Delivered
128,128,5,Delivered
129,129,4,Delivered
130,130,6,Delivered
131,131,8,Delivered
132,132,5,Delivered
133,133,6,Delivered
134,134,2,Delivered
135,135,3,Delivered
136,136,3,Delivered
137,137,5,Delivered
138,138,7,Delivered
139,139,3,Delivered
140,140,5,Delivered
141,141,5,Delivered
142,142,7,Delivered
143,143,7,Delivered
144,144,3,Delivered
145,145,3,Delivered
146,146,5,Delivered
147,147,5,Delivered
148,148,4,Delivered
149,149,6,Delivered
150,150,4,Delivered
151,151,2,Delivered
152,152,4,Delivered
153,153,4,Delivered
154,154,6,Delivered
155,155,4,Delivered
156,156,3,Delivered
157,157,5,Delivered
158,158,5,Delivered
159,159,3,Delivered
160,160,5,Delivered
161,161,2,Delivered
162,162,5,Delivered
163,163,5,Delivered
164,164,3,Delivered
165,165,0,Cancelled
166,166,6,Delivered
167,167,3,Delivered
168,168,6,Delivered
169,169,6,Delivered
170,170,2,Delivered
171,171,3,Delivered
172,172,4,Delivered
173,173,3,Delivered
174,174,5,Delivered
175,175,3,Delivered
176,176,5,Delivered
177,177,3,Delivered
178,178,8,Delivered
179,179,5,Returned
180,180,10,Returned
181,181,8,Returned
182,182,9,Returned
183,183,10,Returned
184,184,0,Cancelled
185,185,3,Delivered
186,186,4,Delivered
187,187,2,Delivered
188,188,4,Delivered
189,189,5,Delivered
190,190,5,Delivered
191,191,8,Delivered
192,192,7,Delivered
193,193,5,Delivered
194,194,4,Delivered
195,195,3,Delivered
196,196,4,Delivered
197,197,4,Delivered
198,198,3,Delivered
199,199,4,Delivered
200,200,3,Delivered
201,201,6,Delivered
202,202,3,Delivered
203,203,6,Delivered
204,204,2,Delivered
205,205,5,Delivered
206,206,4,Delivered
207,207,7,Returned
208,208,3,Delivered
209,209,6,Delivered
210,210,4,Delivered
211,211,2,Delivered
212,212,2,Delivered
213,213,4,Delivered
214,214,5,Delivered
215,215,5,Delivered
216,216,2,Delivered
217,217,4,Delivered
218,218,4,Delivered
219,219,5,Delivered
220,220,7,Delivered
221,221,3,Delivered
222,222,4,Delivered
223,223,4,Delivered
224,224,5,Returned
225,225,3,Delivered
226,226,2,Delivered
227,227,3,Delivered
228,228,4,Delivered
229,229,4,Delivered
230,230,3,Delivered
231,231,3,Delivered
232,232,4,Delivered
233,233,6,Returned
234,234,4,Delivered
235,235,5,Delivered
236,236,5,Delivered
237,237,4,Delivered
238,238,7,Delivered
239,239,5,Delivered
240,240,4,Delivered
241,241,4,Delivered
242,242,5,Delivered
243,243,7,Delivered
244,244,2,Delivered
245,245,3,Delivered
246,246,4,Delivered
247,247,3,Delivered
248,248,3,Delivered
249,249,5,Delivered
250,250,2,Delivered
251,251,4,Delivered
252,252,4,Delivered
253,253,3,Delivered
254,254,4,Delivered
255,255,3,Delivered
256,256,6,Delivered
257,257,7,Returned
258,258,4,Delivered
259,259,8,Delivered
260,260,3,Delivered
261,261,4,Delivered
262,262,5,Delivered
263,263,3,Delivered
264,264,2,Delivered
265,265,4,Delivered
266,266,4,Delivered
267,267,2,Delivered
268,268,5,Delivered
269,269,6,Delivered
270,270,2,Delivered
271,271,4,Delivered
272,272,7,Delivered
273,273,5,Returned
274,274,5,Delivered
275,275,6,Delivered
276,276,4,Delivered
277,277,4,Delivered
278,278,9,Returned
279,279,2,Delivered
280,280,2,Delivered
281,281,3,Delivered
282,282,8,Delivered
283,283,4,Delivered
284,284,7,Delivered
285,285,2,Delivered
286,286,3,Delivered
287,287,0,Cancelled
288,288,7,Delivered
289,289,4,Delivered
290,290,3,Delivered
291,291,6,Delivered
292,292,5,Delivered
293,293,3,Delivered
294,294,6,Delivered
295,295,5,Delivered
296,296,5,Delivered
297,297,2,Delivered
298,298,3,Delivered
299,299,2,Delivered
300,300,3,Delivered
301,301,4,Delivered
302,302,7,Delivered
303,303,4,Delivered
304,304,4,Delivered
305,305,4,Delivered
306,306,4,Delivered
307,307,4,Delivered
308,308,5,Delivered
309,309,4,Delivered
310,310,3,Delivered
311,311,7,Returned
312,312,3,Delivered
313,313,7,Delivered
