order_id,customer_id,order_date,amount,order_status,payment_type
1,98,2024-08-02,1496.3,Delivered,Debit Card
2,607,2024-05-04,2567.6,Delivered,Credit Card
3,712,2025-07-24,728.97,Delivered,UPI
4,549,2025-02-17,11316.88,Delivered,Wallet
5,435,2023-03-01,2502.16,Delivered,UPI
6,607,2024-05-08,2120.01,Delivered,Credit Card
7,435,2024-08-12,872.54,Delivered,Debit Card
8,294,2024-09-10,4347.98,Delivered,UPI
9,171,2025-10-14,14697.04,Delivered,COD
10,74,2024-07-12,6720.84,Delivered,COD
11,569,2025-03-19,2547.34,Delivered,UPI
12,526,2024-04-23,8587.83,Delivered,Credit Card
13,789,2025-03-06,7627.5,Delivered,Credit Card
14,420,2025-01-04,952.26,Delivered,UPI
15,435,2023-04-14,3144.94,Delivered,COD
16,607,2024-05-02,1115.2,Delivered,Debit Card
17,789,2025-11-17,3520.21,Delivered,Debit Card
18,607,2025-06-27,2305.38,Delivered,UPI
19,42,2023-08-23,6027.03,Delivered,COD
20,120,2023-06-24,1771.31,Delivered,UPI
21,559,2023-04-16,6031.45,Delivered,Wallet
22,704,2025-05-28,2647.17,Delivered,COD
23,786,2025-03-31,10912.43,Delivered,UPI
24,607,2023-06-17,3275.95,Delivered,UPI
25,481,2024-03-27,1562.38,Delivered,Credit Card
26,513,2025-10-15,534.14,Delivered,Debit Card
27,712,2023-03-28,11171.8,Delivered,Credit Card
28,607,2025-12-09,9539.99,Delivered,UPI
29,732,2023-11-10,4696.33,Delivered,COD
30,626,2024-10-23,9600.4,Cancelled,COD
31,112,2025-01-25,2254.51,Delivered,COD
32,457,2024-10-20,2730.32,Delivered,Debit Card
33,642,2023-03-22,4468.31,Delivered,UPI
34,607,2024-11-13,1657.2,Delivered,UPI
35,607,2024-11-03,10508.29,Delivered,COD
36,123,2023-07-27,8306.38,Delivered,Credit Card
37,607,2024-05-01,4328.01,Delivered,Wallet
38,607,2025-06-21,7778.62,Delivered,Credit Card
39,607,2023-06-21,7664.24,Delivered,COD
40,658,2023-06-17,6026.56,Delivered,UPI
41,189,2023-01-11,1346.74,Delivered,COD
42,607,2023-09-07,2692.82,Delivered,UPI
43,559,2023-06-25,4690.58,Delivered,Credit Card
44,607,2024-06-03,5277.39,Delivered,Debit Card
45,457,2023-05-10,848.5,Delivered,Debit Card
46,607,2025-08-27,6135.5,Delivered,UPI
47,47,2025-03-30,853.97,Delivered,Debit Card
48,495,2025-05-19,2720.28,Delivered,UPI
49,607,2025-06-09,2231.97,Delivered,UPI
50,607,2025-06-16,10881.46,Delivered,UPI
51,607,2025-12-20,5505.92,Delivered,UPI
52,435,2024-02-14,10433.85,Delivered,UPI
53,607,2024-09-06,8323.18,Delivered,COD
54,68,2023-05-15,1923.33,Delivered,UPI
55,607,2024-01-08,1838.89,Delivered,COD
56,608,2023-06-11,23006.5,Delivered,UPI
57,658,2024-06-26,3273.78,Delivered,Debit Card
58,444,2023-05-30,3178.29,Delivered,Debit Card
59,79,2024-07-01,674.66,Delivered,Credit Card
60,457,2024-11-01,6823.48,Delivered,Wallet
61,447,2024-12-23,5309.03,Delivered,UPI
62,424,2025-01-19,18319.98,Delivered,UPI
63,457,2025-03-17,2781.51,Delivered,UPI
64,610,2025-11-21,1265.9,Delivered,UPI
65,79,2025-08-30,680.91,Delivered,COD
66,607,2025-08-29,7831.13,Delivered,UPI
67,607,2024-02-22,9314.86,Delivered,Credit Card
68,698,2025-09-18,1876.53,Delivered,UPI
69,761,2025-03-19,578.5,Delivered,COD
70,607,2023-08-12,1846.64,Delivered,Debit Card
71,607,2023-11-20,4606.66,Delivered,Credit Card
72,159,2023-12-25,4567.83,Delivered,Credit Card
73,245,2025-10-08,676.24,Delivered,COD
74,487,2025-05-25,3062.37,Delivered,Credit Card
75,415,2023-01-24,4128.97,Delivered,UPI
76,463,2024-08-27,276.89,Delivered,UPI
77,608,2025-08-22,10266.53,Delivered,Debit Card
78,435,2024-02-25,429.34,Delivered,Debit Card
79,607,2025-08-04,6334.99,Delivered,Debit Card
80,132,2023-10-05,3300.67,Delivered,COD
81,81,2025-12-19,1237.13,Delivered,UPI
82,607,2023-02-02,3500.58,Delivered,UPI
83,505,2023-04-26,652.81,Delivered,UPI
84,159,2024-09-10,2638.95,Delivered,COD
85,574,2024-10-14,5673.73,Delivered,Debit Card
86,607,2023-10-02,2448.69,Returned,Credit Card
87,451,2024-03-20,10539.2,Delivered,Credit Card
88,607,2025-01-05,4052.24,Delivered,UPI
89,226,2023-10-26,7620.2,Delivered,UPI
90,514,2025-09-27,10266.08,Delivered,UPI
91,789,2025-09-16,444.85,Delivered,Debit Card
92,435,2025-10-25,17023.94,Returned,COD
93,41,2025-07-29,16404.88,Returned,Credit Card
94,789,2025-10-20,8086.05,Returned,COD
95,488,2023-10-23,10918.94,Delivered,Debit Card
96,559,2023-07-20,3885.99,Delivered,Credit Card
97,435,2025-06-03,3879.89,Delivered,UPI
98,435,2024-07-06,3510.38,Delivered,UPI
99,315,2024-10-26,2622.45,Delivered,COD
100,68,2025-05-12,2814.75,Delivered,UPI
101,331,2024-09-15,5381.29,Delivered,UPI
102,789,2024-02-16,8657.74,Delivered,Credit Card
103,589,2024-03-05,6703.97,Delivered,Credit Card
104,658,2025-05-06,3660.83,Delivered,Credit Card
105,290,2023-08-05,1290.51,Delivered,UPI
106,703,2025-10-21,6306.39,Delivered,UPI
107,444,2025-07-15,12076.89,Delivered,UPI
108,435,2024-11-08,2043.51,Returned,Credit Card
109,602,2024-07-24,3853.2,Delivered,Debit Card
110,789,2025-03-14,3382.15,Delivered,Debit Card
111,607,2025-02-03,2755.04,Delivered,Debit Card
112,658,2023-10-15,4881.73,Delivered,UPI
113,764,2024-04-05,432.41,Delivered,Credit Card
114,577,2025-06-22,534.55,Delivered,Credit Card
115,607,2023-06-28,4720.32,Delivered,Credit Card
116,451,2024-08-22,10972.36,Delivered,UPI
